ref_area,indicator,source,sex,time,obs_value,obs_status,note_source,note_indicator
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2002,1729.93,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2002,1624.946,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2001,3752.35,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2001,2037.211,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2001,1715.139,,R1:3513,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2022,56.187,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2022,21.087,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2022,35.099,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2021,60.95,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2021,27.323,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2021,33.627,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2020,77.885,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2020,36.273,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2020,41.612,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2019,90.102,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2019,40.73,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2019,49.373,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2018,83.724,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2018,42.296,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2018,41.428,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2017,63.754,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2017,29.654,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2017,34.1,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2016,80.049,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2016,22.895,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2016,57.154,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2015,56.232,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2015,30.686,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2015,25.546,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2014,44.667,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2014,20.809,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2014,23.859,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2013,78.697,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2013,31.855,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2013,46.842,,R1:3513_T2:85,
